file,kernel,blur_score_prima,blur_score_dopo
8421906595_13d7402969_o.jpg,D,1050.446472224721,203.7378582857093
3462768965_ec8b3fc10e_o.jpg,Cross_5,1726.9469665913327,221.50061054817593
bb8b54822f.jpg,Gauss_3,942.1465421146382,21.405695839357197
4517439832_a870bf778a_b.jpg,Box_3,2252.946536314002,119.5797586738939
21397651584_a1f9bb88b4_o.jpg,Gauss_5,488.70531840982363,38.73628769175106
b8ecfd72d9.jpg,H,2402.791725,657.8574203175835
ce8e1360a1.jpg,Cross_5,1051.7136171646812,58.19969170533434
6171311029_5dc3520c7e_o.jpg,V,406.16563678222224,66.28114195517429
9730146942_b21587ec5d_b.jpg,Gauss_5,1678.7639314899673,89.61201908408677
12755468293_4002511ac9_o.jpg,Box_3,2476.003767259066,229.33459029660432
14210401991_22dfb1970b_b.jpg,Median_5,3350.9158684602667,337.27150602710094
Turtle_Tortoise (1795).jpg,Circ_5,550.0909180557537,27.85280638324971
8601449552_7ee16d250b_o.jpg,Cross_5,1278.947506732257,103.5883105499255
3605388324_468dcee4e4_b.jpg,Box_5,474.4778262203504,18.49752869262441
Urchins (18).jpg,Cross_5,493.005053564321,72.21518924265094
19c3d0c935.jpg,Circ_5,1901.6126323406704,52.87980228878468
4815823665_a13d9dcd6c_b.jpg,V,2996.5877049180326,416.43021032443795
eb66218305.jpg,Box_3,1571.7120494877656,327.22976651165897
27061295153_24ab58dcb7_b.jpg,Median_5,601.2507343823751,107.40170589321508
12128765466_e4f3192459_o.jpg,Circ_5,694.0182615832637,71.41707021482087
24906291095_7bc04dfe01_b.jpg,Box_3,2545.270810665556,250.7462140182216
d8e50e61e9.jpg,Originale,2368.896864962632,3156.0610666715916
15150032316_086d5c1e6d_o.jpg,Circ_5,716.2838218487653,59.68990459068772
4575857455_c53a158785_o.jpg,Originale,429.87228689999074,554.275568911653
Dolphin (52).jpg,H,861.4009820914904,325.92749909945496
2692920471_150aebb43f_o.jpg,D,414.13953452141925,92.16412863836642
fd46ecf4bd.jpg,Box_3,3433.498123102565,197.59340126223483
26781388437_853ba0f2bc_o.jpg,Circ_5,2205.9775809586777,114.80634533629126
8445124143_a675ed1039_o.jpg,Circ_5,566.2927466161728,45.22099560948522
23935412053_f92b991d4c_b.jpg,Originale,4732.581009262222,4487.571392934355
5334547073_e84faeae24_b.jpg,Box_3,894.6374380024888,177.01333514574617
4773009524_96353abceb_o.jpg,Median_5,2384.7804721597226,173.9639269770408
8902666001_7a2bd68551_o.jpg,Box_3,3975.8005342391098,290.9580519551886
14305842090_4cd4284784_b.jpg,H,748.4545189568771,132.12798823142538
